LJ001-0051|all this way.|all this way.
LJ001-0052|What would|What would
LJ001-0053|YOU want nudged|YOU want nudged
LJ001-0054|Ms. Vance?|Ms. Vance?
LJ001-0055|That|That
LJ001-0056|would be a considerably|would be a considerably
LJ001-0057|large nudge|large nudge
LJ001-0058|Too large|Too large
LJ001-0059|given the interests|given the interests
LJ001-0060|of my employers|of my employers
LJ001-0061|What if|What if
LJ001-0062|I could offer you something|I could offer you something
LJ001-0063|you don't know you want?|you don't know you want?
LJ001-0064|Good.|Good.
LJ001-0065|As a consequence|As a consequence
LJ001-0066|of your action,|of your action,
LJ001-0067|this entity|this entity
LJ001-0068|will continue|will continue
LJ001-0069|And this entity|And this entity
LJ001-0070|will not|will not
LJ001-0071|You ARE|You ARE
LJ001-0072|aware|aware
LJ001-0073|that you've proven yourself|that you've proven yourself
LJ001-0074|to be of|to be of
LJ001-0075|extraordinary value.|extraordinary value.
LJ001-0076|Unless|
LJ001-0077|you were to take matters|you were to take matters
LJ001-0078|into|into
LJ001-0079|your own hands.|your own hands.
LJ001-0080|A previous hire|A previous hire
LJ001-0081|has been unable|has been unable
LJ001-0082|or unwilling|or unwilling
LJ001-0083|to perform the|to perform the
LJ001-0084|tasks laid before him|tasks laid before him
LJ001-0085|We have struggled|We have struggled
LJ001-0086|to find a suitable|to find a suitable
LJ001-0087|replacement|replacement
LJ001-0088|Until now.|Until now.
LJ001-0089|I'm afraid|I'm afraid
LJ001-0090|you misunderstand|you misunderstand
LJ001-0091|the situation|the situation
LJ001-0092|Miss Vance.|Miss Vance.
LJ001-0093|Release your father|Release your father
LJ001-0094|Miss Vance.|Miss Vance.
LJ001-0095|Your glove, Ms Vance.|Your glove, Ms Vance.
LJ001-0096|We are in the future.|We are in the future.
LJ001-0097|This is the moment|This is the moment
LJ001-0098|where you watch your father|where you watch your father
LJ001-0099|die|die
LJ001-0100|Unless…|Unless…
LJ001-0101|Gordon… Freeman?|Gordon… Freeman?
LJ001-0102|Miss Vance.|Miss Vance.
LJ001-0103|You wouldn't need|You wouldn't need
LJ001-0104|all that|all that
LJ001-0105|to imprison|to imprison
LJ001-0106|Gordon Freeman.|Gordon Freeman.
